a.1.1.1;Truncated hemoglobin
a.289.1.2;Achaeal helicase C-terminal domain
a.92.1.1;Carbamoyl phosphate synthetase, large subunit connection domain
a.93.1.1;CCP-like
a.93.1.3;Catalase-peroxidase KatG
a.93.1.2;Myeloperoxidase-like
a.94.1.1;Ribosomal protein L19 (L19e)
a.290.1.1;PSPTO4464-like
a.182.1.1;GatB/YqeY domain
a.182.1.2;GatB/GatE C-terminal domain-like
a.233.1.1;YfbU-like
a.291.1.1;MG296-like
a.234.1.1;Hypothetical protein MPN330
a.211.1.1;HD domain
a.211.1.2;PDEase
a.211.1.3;modified HD domain
a.211.1.4;MioX-like
a.211.1.5;Ppx associated domain
a.202.1.1;Superantigen MAM
a.95.1.1;Influenza virus matrix protein M1
a.96.1.1;Endonuclease III
a.96.1.2;Mismatch glycosylase
a.96.1.4;3-Methyladenine DNA glycosylase I (Tag)
a.96.1.5;3-Methyladenine DNA glycosylase III (MagIII)
a.96.1.3;DNA repair glycosylase, 2 C-terminal domains
a.96.1.6;AgoG-like
a.97.1.1;C-terminal domain of glutamyl-tRNA synthetase (GluRS)
a.97.1.2;C-terminal domain of class I lysyl-tRNA synthetase
a.203.1.1;Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)
a.98.1.1;R1 subunit of ribonucleotide reductase, N-terminal domain
a.169.1.1;BEACH domain
a.99.1.1;Cryptochrome/photolyase FAD-binding domain
a.100.1.1;Hydroxyisobutyrate and 6-phosphogluconate dehydrogenase domain
a.100.1.9;Mannitol 2-dehydrogenase
a.100.1.2;Acetohydroxy acid isomeroreductase (ketol-acid reductoisomerase, KARI)
a.100.1.3;HCDH C-domain-like
a.100.1.8;Conserved hypothetical protein MTH1747
a.100.1.4;UDP-glucose/GDP-mannose dehydrogenase dimerisation domain
a.100.1.5;N-(1-D-carboxylethyl)-L-norvaline dehydrogenase
a.100.1.6;Glycerol-3-phosphate dehydrogenase
a.100.1.7;Ketopantoate reductase PanE
a.100.1.10;ProC C-terminal domain-like
a.100.1.11;HMD dimerization domain-like
a.100.1.12;TyrA dimerization domain-like
a.101.1.1;Uteroglobin-like
a.102.1.1;Glucoamylase
a.102.1.2;Cellulases catalytic domain
a.102.1.3;N-acylglucosamine (NAG) epimerase
a.102.1.4;Glycosyltransferase family 36 C-terminal domain
a.102.1.5;Bacterial glucoamylase C-terminal domain-like
a.102.1.6;Hypothetical protein YteR
a.102.1.7;Glycosyl Hydrolase Family 88
a.102.1.8;CPF0428-like
a.102.1.9;Trehalase-like
a.102.2.1;Class I alpha-1;2-mannosidase, catalytic domain
a.102.3.1;Alginate lyase A1-III
a.102.3.2;Hyaluronate lyase-like catalytic, N-terminal domain
a.102.5.1;Family 10 polysaccharide lyase
a.102.4.1;Terpenoid cyclase N-terminal domain
a.102.4.2;Terpene synthases
a.102.4.3;Protein prenyltransferases
a.102.4.4;Complement components
a.102.6.1;LanC-like
a.103.1.1;Citrate synthase
a.104.1.1;Cytochrome P450
a.145.1.1;Flagellar transcriptional activator FlhD
a.292.1.1;HP0242-like
a.293.1.1;SMc04008-like
a.108.1.1;Ribosomal protein L7/12, oligomerisation (N-terminal) domain
a.109.1.1;Class II MHC-associated invariant chain ectoplasmic trimerization domain
a.110.1.1;Aldehyde ferredoxin oxidoreductase, C-terminal domains
a.111.1.1;Type 2 phosphatidic acid phosphatase, PAP2
a.111.1.2;Haloperoxidase (bromoperoxidase)
a.111.1.3;Chloroperoxidase
a.170.1.1;BRCA2 helical domain
a.171.1.1;BRCA2 tower domain
a.155.1.1;H-NS histone-like proteins
a.177.1.1;Sigma2 domain of RNA polymerase sigma factors
a.113.1.1;DNA repair protein MutS, domain III
a.172.1.1;Helical scaffold and wing domains of SecA
a.204.1.2;MazG-like
a.204.1.3;AF0060-like
a.204.1.1;Type II deoxyuridine triphosphatase
a.204.1.4;HisE-like (PRA-PH)
a.205.1.1;Hsp90 co-chaperone CDC37
a.183.1.1;Nop domain
a.259.1.1;YidB-like
a.114.1.1;Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
a.115.1.1;Orbivirus capsid
a.115.1.3;Phytoreovirus capsid
a.115.1.2;vp6, the major capsid protein of group A rotavirus
a.206.1.1;P40 nucleoprotein
a.260.1.1;Rhabdovirus nucleocapsid protein
a.116.1.1;BCR-homology GTPase activation domain (BH-domain)
a.116.1.2;p120GAP domain-like
a.117.1.1;Ras GEF
a.146.1.1;Telomeric repeat binding factor (TRF) dimerisation domain
a.173.1.1;Poly A polymerase C-terminal region-like
a.118.1.1;Armadillo repeat
a.118.1.10;Clathrin adaptor core protein
a.118.1.2;HEAT repeat
a.118.1.14;MIF4G domain-like
a.118.1.13;PHAT domain
a.118.1.15;Mo25 protein
a.118.1.7;Leukotriene A4 hydrolase C-terminal domain
a.118.1.3;Clathrin heavy chain proximal leg segment
a.118.1.4;Clathrin heavy-chain linker domain
a.118.1.5;Leucine-rich repeat variant
a.118.1.6;Phoshoinositide 3-kinase (PI3K) helical domain
a.118.1.8;Pumilio repeat
a.118.1.9;Regulatory subunit H of the V-type ATPase
a.118.1.16;PBS lyase HEAT-like repeat
a.118.1.17;BC3264-like
a.118.1.18;Eukaryotic translation initiation factor 3 subunit 12, eIF3k, N-terminal domain
a.118.1.19;Exportin HEAT-like repeat
a.118.1.20;B56-like
a.118.1.21;HspBP1 domain
a.118.1.22;GUN4-associated domain
a.118.1.23;Diap1 N-terninal region-like
a.118.1.24;Plakophilin 1 helical region
a.118.1.25;RPA1889-like
a.118.22.1;IP3 receptor type 1 binding core, domain 2
a.118.21.1;Chemosensory protein Csp2
a.118.3.1;Sec7 domain
a.118.4.1;Lipovitellin-phosvitin complex, superhelical domain
a.118.5.1;Bacterial muramidases
a.118.15.1;Aconitase B, N-terminal domain
a.118.18.1;HCP-like
a.118.6.1;Protein prenylyltransferase
a.118.7.1;14-3-3 protein
a.118.8.1;Tetratricopeptide repeat (TPR)
a.118.8.2;Transcription factor MalT domain III
a.118.8.3;BTAD-like
a.118.8.4;PrgX C-terminal domain-like
a.118.8.5;Atu0120-like
a.118.8.6;SusD-like
a.118.8.7;HAT/Suf repeat
a.118.8.8;CT2138-like
a.118.9.1;ENTH domain
a.118.9.2;VHS domain
a.118.9.3;Phosphoinositide-binding clathrin adaptor, N-terminal domain
a.118.9.4;RPR domain (SMART 00582 )
a.118.16.1;Translin
a.118.12.1;Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain
a.118.13.1;Arp2/3 complex 16 kDa subunit ARPC5
a.118.14.1;FliG
a.118.17.1;Cullin repeat
a.118.17.2;Exocyst complex component
a.118.19.1;C-terminal domain of Ku80
a.118.20.1;Hypothetical protein ST1625
a.118.11.1;Cytochrome c oxidase subunit E
a.118.23.1;USP8 N-terminal domain-like
a.118.24.1;Pseudo ankyrin repeat
a.118.25.1;TROVE domain-like
a.118.26.1;MgtE N-terminal domain-like
a.261.1.1;GUN4-like
a.119.1.1;Plant lipoxigenases
a.119.1.2;Animal lipoxigenases
a.120.1.1;gene 59 helicase assembly protein
a.121.1.1;Tetracyclin repressor-like, C-terminal domain
a.157.1.1;Skp1 dimerisation domain-like
a.158.1.1;F-box domain
a.123.1.1;Nuclear receptor ligand-binding domain
a.124.1.1;Phospholipase C
a.124.1.2;P1 nuclease
a.235.1.1;ATP-dependent DNA ligase DNA-binding domain
a.236.1.1;DNA primase DnaG, C-terminal domain
a.262.1.1;PriB N-terminal domain-like
a.222.1.1;VPS9 domain
a.223.1.1;TF C-terminus
a.223.1.2;Porin chaperone SurA, peptide-binding domain
a.263.1.1;DNA terminal protein
a.224.1.1;Glycolipid transfer protein, GLTP
a.225.1.1;Hypothetical protein MG354
a.264.1.1;Duffy binding domain
a.265.1.1;Fic-like
a.226.1.1;Her-1
a.227.1.1;ERO1-like
a.126.1.1;Serum albumin-like
a.127.1.1;L-aspartase/fumarase
a.127.1.2;HAL/PAL-like
a.207.1.1;Formin homology 2 domain (FH2 domain)
a.128.1.1;Isoprenyl diphosphate synthases
a.128.1.2;Squalene synthase
a.128.1.3;Terpenoid cyclase C-terminal domain
a.128.1.4;Aristolochene/pentalenene synthase
a.128.1.5;Trichodiene synthase
a.129.1.1;GroEL chaperone, ATPase domain
a.129.1.2;Group II chaperonin (CCT, TRIC), ATPase domain
a.184.1.1;TorD-like
a.130.1.1;Dimeric chorismate mutase
a.130.1.2;Allosteric chorismate mutase
a.130.1.3;monomeric chorismate mutase
a.130.1.4;Secreted chorismate mutase-like
a.131.1.1;Peridinin-chlorophyll protein
a.132.1.1;Eukaryotic type heme oxygenase
a.132.1.2;Heme oxygenase HemO (PigA)
a.132.1.3;TENA/THI-4
a.132.1.4;PqqC-like
a.266.1.1;Bacterial tryptophan 2,3-dioxygenase
a.266.1.2;Indoleamine 2,3-dioxygenase-like
a.152.1.2;CMD-like
a.152.1.1;AhpD
a.152.1.3;Atu0492-like
a.152.1.4;TTHA0727-like
a.174.1.1;Double Clp-N motif
a.175.1.1;Orange carotenoid protein, N-terminal domain
a.208.1.1;DhaL-like
a.209.1.1;ADP-ribosylglycohydrolase
a.267.1.1;Topoisomerase V catalytic domain-like
a.268.1.1;PTPA-like
a.294.1.1;Tex N-terminal region-like
a.295.1.1;AGR C 984p-like
a.296.1.1;PMT central region-like
a.269.1.1;FtsH protease domain-like
a.185.1.1;Gametocyte protein Pfg27
a.176.1.1;N-terminal domain of bifunctional PutA protein
a.17.1.1;p8-MTCP1
a.17.1.2;COX17-like
a.133.1.2;Vertebrate phospholipase A2
a.133.1.1;Insect phospholipase A2
a.133.1.3;Prokaryotic phospholipase A2
a.134.1.1;Fungal elicitin
a.135.1.1;Tetraspanin
a.228.1.1;GDNF receptor-like
a.136.1.1;FinO-like
a.153.1.1;Nuclear receptor coactivator interlocking domain
a.270.1.1;Hermes dimerisation domain
a.210.1.1;Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain
a.137.1.1;Ribosomal protein L39e
a.137.2.1;Methanol dehydrogenase subunit
a.137.3.1;Transducin (heterotrimeric G protein), gamma chain
a.137.4.1;Fe-only hydrogenase smaller subunit
a.137.5.1;Moesin tail domain
a.137.7.1;Proteinase A inhibitor IA3
a.137.8.1;Epsilon subunit of mitochondrial F1F0-ATP synthase
a.137.9.1;Quinohemoprotein amine dehydrogenase C chain
a.137.10.1;Stathmin
a.137.11.1;Anti-sigma factor FlgM
a.137.12.1;Glu-tRNAGln amidotransferase C subunit
a.137.13.1;RelB-like
a.137.14.1;Lag-3 N-terminal region
a.137.15.1;Lipase chaperone LifO-like
a.138.1.1;Cytochrome c3-like
a.138.1.2;Photosynthetic reaction centre (cytochrome subunit)
a.138.1.3;Di-heme elbow motif
b.1.1.1;V set domains (antibody variable domain-like)
b.1.1.2;C1 set domains (antibody constant domain-like)
b.1.1.3;C2 set domains
b.1.1.4;I set domains
b.1.18.1;NF-kappa-B/REL/DORSAL transcription factors, C-terminal domain
b.1.18.2;E-set domains of sugar-utilizing enzymes
b.1.18.18;Other IPT/TIG domains
b.1.18.3;Arthropod hemocyanin, C-terminal domain
b.1.18.4;Class II viral fusion proteins C-terminal domain
b.1.18.5;Cytomegalovirus protein US2
b.1.18.6;Molybdenum-containing oxidoreductases-like dimerisation domain
b.1.18.7;ML domain
b.1.18.8;RhoGDI-like
b.1.18.16;Cytoplasmic domain of inward rectifier potassium channel
b.1.18.9;Transglutaminase N-terminal domain
b.1.18.10;Filamin repeat (rod domain)
b.1.18.11;Arrestin/Vps26-like
b.1.18.12;Gingipain R (RgpB), C-terminal domain
b.1.18.17;Copper resistance protein C (CopC, PcoC)
b.1.18.13;Cellulosomal scaffoldin protein CipC, module x2.1
b.1.18.14;Quinohemoprotein amine dehydrogenase A chain, domains 4 and 5
b.1.18.15;Internalin Ig-like domain
b.1.18.19;SoxZ-like
b.1.18.20;Enterochelin esterase N-terminal domain-like
b.1.18.21;AMPK-beta glycogen binding domain-like
b.1.18.22;Sec63 C-terminal domain-like
b.1.18.23;SVA-like
b.1.2.1;Fibronectin type III
b.1.3.1;PKD domain
b.1.4.1;beta-Galactosidase/glucuronidase domain
b.1.5.1;Transglutaminase, two C-terminal domains
b.1.6.1;Cadherin
b.1.6.2;Dystroglycan, N-terminal domain
b.1.7.1;Actinoxanthin-like
b.1.8.1;Cu,Zn superoxide dismutase-like
b.1.9.1;Cytochrome domain of cellobiose dehydrogenase
b.1.9.2;Family 9 carbohydrate-binding module, CBD9
b.1.9.3;Glucodextranase, domain C
b.1.16.1;Lamin A/C globular tail domain
b.1.10.1;Alpha-adaptin ear subdomain-like
b.1.10.2;gamma-adaptin C-terminal appendage domain-like
b.1.10.3;Coatomer appendage domain
b.1.15.1;Integrin domains
b.1.11.1;Pilus chaperone
b.1.11.2;MSP-like
b.1.12.1;Purple acid phosphatase, N-terminal domain
b.1.21.1;Fungal immunomodulatory protein, FIP
b.1.13.1;Superoxide reductase-like
b.1.17.1;Thiol:disulfide interchange protein DsbD, N-terminal domain (DsbD-alpha)
b.1.14.1;Invasin/intimin cell-adhesion fragments
b.1.19.1;Antigen MPT63/MPB63 (immunoprotective extracellular protein)
b.1.20.1;Tp47 lipoprotein, middle and C-terminal domains
b.1.22.1;ASF1-like
b.1.23.1;ApaG-like
b.1.24.1;Accessory protein X4 (ORF8, ORF7a)
b.1.25.1;LEA14-like
b.1.26.1;ICP-like
b.1.27.1;CalX-beta domain
b.1.28.1;NEAT domain
b.2.1.1;Diphtheria toxin, C-terminal domain
b.2.2.1;Cellulose-binding domain family II
b.2.2.2;Cellulose-binding domain family III
b.2.2.3;Bacterial chitobiase, n-terminal domain
b.2.3.1;Collagen-binding domain of adhesin
b.2.3.4;Fibrinogen-binding domain
b.2.3.2;Pilus subunits
b.2.3.3;PapG adhesin receptor-binding domain
b.2.3.5;F17c-type adhesin
b.2.3.6;Dr-family adhesin
b.2.4.1;Alpha-macroglobulin receptor domain
b.2.5.2;p53 DNA-binding domain-like
b.2.5.3;Rel/Dorsal transcription factors, DNA-binding domain
b.2.5.4;T-box
b.2.5.5;STAT DNA-binding domain
b.2.5.6;RUNT domain
b.2.5.7;DNA-binding domain from NDT80
b.2.5.8;DNA-binding protein LAG-1 (CSL)
b.2.6.1;Cytochrome f, large domain
b.2.8.1;beta-sandwich domain of Sec23/24
b.2.7.1;Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
b.2.9.1;Peptidylarginine deiminase Pad4, middle domain
b.2.10.1;DR1885-like metal-binding protein
b.3.1.2;Rhamnogalacturonase B, RhgB, middle domain
b.3.1.1;Starch-binding domain
b.3.1.3;PUD-like
b.3.2.1;Carboxypeptidase regulatory domain
b.3.2.2;Pre-dockerin domain
b.3.3.1;VHL
b.3.4.1;Transthyretin (synonym: prealbumin)
b.3.5.1;Cna protein B-type domain
b.3.6.1;Aromatic compound dioxygenase
b.3.7.1;Hypothetical protein PA1324
b.4.1.1;HSP40/DnaJ peptide-binding domain
b.105.1.1;PBP5 C-terminal domain-like
b.105.1.2;Pencillin binding protein 4 (PbpD), C-terminal domain
b.5.1.1;alpha-Amylase inhibitor tendamistat
b.112.1.1;C-terminal domain of mollusc hemocyanin
b.154.1.1;Agglutinin HPA-like
b.155.1.1;Ribosomal protein L21p
b.6.1.1;Plastocyanin/azurin-like
b.6.1.4;Nitrosocyanin
b.6.1.2;Periplasmic domain of cytochrome c oxidase subunit II
b.6.1.3;Multidomain cupredoxins
b.6.1.5;Ephrin ectodomain
b.6.1.6;Peptidylarginine deiminase Pad4, N-terminal domain
b.6.1.7;SO1698-like
b.6.2.1;Major surface antigen p30, SAG1
b.146.1.1;Ctag/Cox11
b.156.1.1;Atu1913-like
b.7.1.1;PLC-like (P variant)
b.7.1.2;Synaptotagmin-like (S variant)
b.7.2.1;Periplasmic chaperone C-domain
b.7.3.1;PHL pollen allergen
b.7.4.1;Rab geranylgeranyltransferase alpha-subunit, insert domain
b.7.5.1;Smr-associated domain
b.8.1.1;MATH domain
b.8.1.2;SIAH, seven in absentia homolog
b.9.1.1;Neurophysin II
b.114.1.1;N-utilization substance G protein NusG, insert domain
b.121.3.1;Nucleoplasmin-like core domain
b.121.4.1;Picornaviridae-like VP (VP1, VP2, VP3 and VP4)
b.121.4.2;Comoviridae-like VP
b.121.4.3;Caliciviridae-like VP
b.121.4.4;Nodaviridae-like VP
b.121.4.8;Tetraviridae-like VP
b.121.4.5;Bromoviridae-like VP
b.121.4.6;Tymoviridae-like VP
b.121.4.7;Tombusviridae-like VP
b.121.4.9;Birnaviridae-like VP
b.121.5.1;Microviridae-like VP
b.121.5.2;Parvoviridae-like VP
b.121.5.3;Densovirinae-like VP
b.121.6.1;Papovaviridae-like VP
b.121.2.1;Coat protein p3
b.121.2.3;Major capsid protein vp54
b.121.2.2;Adenovirus hexon
b.121.7.1;Satellite viruses
b.121.1.1;Glycosyl-asparaginase
b.121.1.2;Peptidylglycine alpha-hydroxylating monooxygenase, PHM
b.11.1.1;Crystallins/Ca-binding development proteins
b.11.1.2;Yeast killer toxin
b.11.1.3;Streptomyces metalloproteinase inhibitor, SMPI
b.11.1.4;Killer toxin-like protein SKLP
b.11.1.6;Antifungal protein AFP1
b.11.1.5;Plant antimicrobial protein MIAMP1
b.12.1.1;Lipoxigenase N-terminal domain
b.12.1.2;Colipase-binding domain
b.12.1.3;Alpha-toxin, C-terminal domain
b.14.1.1;Calpain large subunit, middle domain (domain III)
b.132.1.1;Supernatant protein factor (SPF), C-terminal domain
b.123.1.1;Hypothetical protein TM1070
b.94.1.1;Olfactory marker protein
b.15.1.1;HSP20
b.15.1.2;Co-chaperone p23-like
b.15.1.3;GS domain
b.15.1.4;Nuclear movement domain
b.130.1.1;Heat shock protein 70kD (HSP70), peptide-binding domain
b.16.1.1;Ecotin, trypsin inhibitor
b.17.1.1;Phosphatidylethanolamine binding protein
b.17.1.2;Prokaryotic PEBP-like proteins
b.95.1.1;Ganglioside M2 (gm2) activator
b.96.1.1;Nicotinic receptor ligand binding domain-like
b.149.1.1;Beta-galactosidase LacA, domain 3
b.18.1.1;Galactose-binding domain
b.18.1.2;Discoidin domain (FA58C, coagulation factor 5/8 C-terminal domain)
b.18.1.9;APC10-like
b.18.1.3;delta-Endotoxin, C-terminal domain
b.18.1.4;Ephrin receptor ligand binding domain
b.18.1.5;beta-Galactosidase/glucuronidase, N-terminal domain
b.18.1.17;Chondroitin ABC lyase I, N-terminal domain
b.18.1.14;CBM4/9
b.18.1.10;Family 6 carbohydrate binding module, CBM6
b.18.1.11;CBM15
b.18.1.12;Family 17 carbohydrate binding module, CBM17
b.18.1.7;CBM22
b.18.1.18;Family 27 carbohydrate binding module, CBM27
b.18.1.19;Family 29 carbohydrate binding module, CBM29
b.18.1.15;Fucose binding lectin
b.18.1.8;N-terminal domain of xrcc1
b.18.1.21;F-box associated region, FBA
b.18.1.22;Allantoicase repeat
b.18.1.13;PepX C-terminal domain-like
b.18.1.16;PA-IL, galactose-binding lectin 1
b.18.1.20;Proprotein convertase P-domain
b.18.1.23;Family 28 carbohydrate binding module, CBM28
b.18.1.24;Family 30 carbohydrate binding module, CBM30 (PKD repeat)
b.18.1.25;Rhamnogalacturonase B, RhgB, C-terminal domain
b.18.1.26;Hypothetical protein AT3g04780/F7O18 27
b.18.1.27;Beta-galactosidase LacA, domains 4 and 5
b.18.1.28;Family 36 carbohydrate binding module, CBM36
b.18.1.29;Extended PAW domain
b.18.1.30;CBM11
b.18.1.31;beta-mannanase CBM
b.18.1.32;YxiM N-terminal domain-like
b.18.1.33;NPCBM-like
b.19.1.1;Top domain of virus capsid protein
b.19.1.2;Influenza hemagglutinin headpiece
b.19.1.3;Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein HEF1
b.115.1.1;Calcium-mediated lectin
b.133.1.1;Dextranase, N-terminal domain
b.134.1.1;Smp-1-like
b.135.1.1;Superantigen (mitogen) Ypm
b.20.1.1;ENV polyprotein, receptor-binding domain
b.147.1.1;BTV NS2-like ssRNA-binding domain
b.170.1.1;WSSV envelope protein-like
b.21.1.1;Adenovirus fiber protein "knob" domain
b.21.1.2;Reovirus attachment protein sigma 1 head domain
b.21.1.3;Lactophage receptor-binding protein head domain
b.22.1.1;TNF-like
b.23.1.1;Spermadhesin, CUB domain
b.23.2.1;Collagen-binding domain
b.23.3.1;Acetamidase/Formamidase-like
b.24.1.1;Hyaluronate lyase-like, C-terminal domain
b.97.1.1;Anemone pore-forming cytolysin
b.97.1.2;Fungal fruit body lectin
b.150.1.1;Putative glucosidase YicI, C-terminal domain
b.151.1.1;CsrA-like
b.25.1.1;Osmotin, thaumatin-like protein
b.26.1.1;SMAD domain
b.26.1.2;FHA domain
b.26.1.3;Interferon regulatory factor 3 (IRF3), transactivation domain
b.26.1.4;EssC N-terminal domain-like
b.27.1.1;Soluble secreted chemokine inhibitor, VCCI
b.28.1.1;Baculovirus p35 protein
b.29.1.1;Legume lectins
b.29.1.13;Lectin leg-like
b.29.1.2;Glycosyl hydrolases family 16
b.29.1.3;Galectin (animal S-lectin)
b.29.1.4;Laminin G-like module
b.29.1.16;Thrombospondin C-terminal domain
b.29.1.5;Pentraxin (pentaxin)
b.29.1.12;Calnexin/calreticulin
b.29.1.14;vp4 sialic acid binding domain
b.29.1.17;Hypothetical protein YesU
b.29.1.18;Alginate lyase
b.29.1.6;Clostridium neurotoxins, the second last domain
b.29.1.7;Exotoxin A, N-terminal domain
b.29.1.8;Vibrio cholerae sialidase, N-terminal and insertion domains
b.29.1.9;Leech intramolecular trans-sialidase, N-terminal domain
b.29.1.15;Trypanosoma sialidase, C-terminal domain
b.29.1.10;Glycosyl hydrolase family 7 catalytic core
b.29.1.19;Glycosyl hydrolases family 32 C-terminal domain
b.29.1.11;Xylanase/endoglucanase 11/12
b.29.1.20;Peptidase A4
b.29.1.21;Alpha-L-arabinofuranosidase B, N-terminal domain
b.29.1.22;SPRY domain
b.29.1.23;Beta-D-xylosidase C-terminal domain-like
b.29.1.24;SO2946-like
b.29.1.25;MAM domain
b.30.5.4;Aldose 1-epimerase (mutarotase)
b.30.5.7;Hypothetical protein HI1317
b.30.5.1;beta-Galactosidase, domain 5
b.30.5.2;Hyaluronate lyase-like, central domain
b.30.5.3;Glycosyltransferase family 36 N-terminal domain
b.30.5.5;Bacterial glucoamylase N-terminal domain-like
b.30.5.8;4-alpha-glucanotransferase, C-terminal domain
b.30.5.6;alpha-mannosidase, C-terminal domain
b.30.5.9;MdoG-like
b.30.5.10;Rhamnogalacturonase B, RhgB, N-terminal domain
b.30.5.11;YicI N-terminal domain-like
b.30.6.1;V-region of surface antigen I/II (SA I/II, PAC)
b.30.2.1;Amine oxidase catalytic domain
b.98.1.1;Leukotriene A4 hydrolase N-terminal domain
b.31.1.1;EV matrix protein
b.116.1.1;Viral chemokine binding protein m3
b.32.1.1;gp9
b.152.1.1;Flagellar hook protein flgE
b.33.1.1;Rieske iron-sulfur protein (ISP)
b.33.1.2;Ring hydroxylating alpha subunit ISP domain
b.33.1.3;NirD-like
b.171.1.1;Trm112p-like
b.172.1.1;YopX-like
b.117.1.1;Obg GTP-binding protein N-terminal domain
b.34.1.1;Biotin repressor (BirA)
b.34.1.2;FeoA-like
b.34.1.3;Transcriptional repressor protein KorB
b.34.2.1;SH3-domain
b.34.11.1;GW domain
b.34.11.2;PhnA-like
b.34.11.3;Spr N-terminal domain-like
b.34.11.4;Ply C-terminal domain-like
b.34.3.1;Myosin S1 fragment, N-terminal domain
b.34.9.1;Tudor domain
b.34.9.2;PWWP domain
b.34.9.3;MBT repeat
b.34.9.4;CPH domain
b.34.13.1;"Histone-like" proteins from archaea
b.34.13.2;Chromo domain
b.34.13.3;Chromo barrel domain
b.34.12.1;BAH domain
b.34.14.1;PAZ domain
b.34.10.1;Cap-Gly domain
b.34.4.1;R67 dihydrofolate reductase
b.34.4.2;Photosystem I accessory protein E (PsaE)
b.34.4.3;Ferredoxin thioredoxin reductase (FTR), alpha (variable) chain
b.34.4.4;Nitrile hydratase beta chain
b.34.5.1;Ribosomal proteins L24p and L21e
b.34.5.2;eIF5a N-terminal domain-like
b.34.5.3;C-terminal domain of ribosomal protein L2
b.34.5.4;N-utilization substance G protein NusG, C-terminal domain
b.34.5.5;SPT5 KOW domain-like
b.34.5.6;Ribosomal protein L19
b.34.5.7;Ribosomal protein L14e
b.34.6.1;CcdB
b.34.6.2;Kid/PemK
b.34.6.3;Rv2302-like
b.34.8.1;Fumarylacetoacetate hydrolase, FAH, N-terminal domain
b.34.7.1;DNA-binding domain of retroviral integrase
b.34.15.1;Hypothetical protein YfhH
b.34.16.1;Kinase-associated protein B-like
b.34.17.1;YccV-like
b.34.18.1;CarD-like
b.34.19.1;Mib/herc2 domain
b.34.20.1;YorP-like
b.34.21.1;Plus3
b.35.1.1;GroES
b.35.1.2;Alcohol dehydrogenase-like, N-terminal domain
b.35.2.1;BglG-like antiterminator proteins
b.36.1.1;PDZ domain
b.36.1.3;Tail specific protease PDZ domain
b.36.1.4;HtrA-like serine proteases
b.36.1.2;Interleukin 16
b.36.1.5;EpsC C-terminal domain-like
b.36.1.6;MTH1368 C-terminal domain-like
b.37.1.1;N-terminal domains of the minor coat protein g3p
b.38.1.1;Sm motif of small nuclear ribonucleoproteins, SNRNP
b.38.1.2;Pleiotropic translational regulator Hfq
b.38.1.3;Mechanosensitive channel protein MscS (YggB), middle domain
b.38.1.4;PF1955-like
b.38.1.5;LSM14 N-terminal domain-like
b.38.1.6;YgdI/YgdR-like
b.38.2.1;YhbC-like, C-terminal domain
b.38.3.1;GatD N-terminal domain-like
b.38.4.1;Dom34/Pelota N-terminal domain-like
b.38.5.1;TrmB C-terminal domain-like
b.136.1.1;Stringent starvation protein B, SspB
b.136.1.2;AGR C 3712p-like
b.137.1.1;RNase P subunit p29-like
b.137.1.2;Rof-like
b.138.1.1;Hydrophobin II, HfbII
b.39.1.1;Ribosomal protein L14
b.40.1.1;Staphylococcal nuclease
b.40.2.1;Bacterial AB5 toxins, B-subunits
b.40.2.2;Superantigen toxins, N-terminal domain
b.40.3.1;Tissue inhibitor of metalloproteinases, TIMP
b.40.3.3;Netrin-like domain (NTR/C345C module)
b.40.3.2;The laminin-binding domain of agrin
b.40.9.1;Heme chaperone CcmE
b.40.8.1;gp4 N-terminal domain-like
b.40.10.1;Hypothetical protein YgiW
b.40.4.1;Anticodon-binding domain
b.40.4.9;RecG "wedge" domain
b.40.4.2;DNA helicase RuvA subunit, N-terminal domain
b.40.4.3;Single strand DNA-binding domain, SSB
b.40.4.4;Myf domain
b.40.4.5;Cold shock DNA-binding domain-like
b.40.4.12;TRAM domain
b.40.4.10;Hypothetical protein MTH1 (MT0001), insert domain
b.40.4.6;DNA ligase/mRNA capping enzyme postcatalytic domain
b.40.4.7;Phage ssDNA-binding proteins
b.40.4.11;DNA replication initiator (cdc21/cdc54) N-terminal domain
b.40.4.8;RNA polymerase subunit RBP8
b.40.4.13;RecO N-terminal domain-like
b.40.4.14;TIP49 domain
b.40.4.15;SSO2064-like
b.40.4.16;RNB domain-like
b.40.5.1;Inorganic pyrophosphatase
b.40.6.1;Molybdate/tungstate binding protein MOP
b.40.6.2;BiMOP, duplicated molybdate-binding domain
b.40.6.3;ABC-transporter additional domain
b.40.7.1;CheW-like
b.40.11.1;TM0957-like
b.40.12.1;NfeD domain-like
b.40.13.1;BC4932-like
b.40.14.1;HupF/HypC-like
b.40.15.1;EutN/CcmL-like
b.40.16.1;HIN-200/IF120x domain
b.41.1.2;MTH1895
b.41.1.1;Photosynthetic reaction centre, H-chain, cytoplasmic domain
b.41.1.3;RIKEN cDNA 2310057j16 protein (KIAA1543)
b.41.1.4;RimM C-terminal domain-like
b.42.1.1;Fibroblast growth factors (FGF)
b.42.1.2;Interleukin-1 (IL-1)
