a.1.1;Globin-like
b.46.1;FMT C-terminal domain-like
b.47.1;Trypsin-like serine proteases
b.140.1;Replicase NSP9
b.48.1;mu transposase, C-terminal domain
b.49.1;N-terminal domain of alpha and beta subunits of F1 ATP synthase
b.49.2;Alanine racemase C-terminal domain-like
b.49.3;Aminopeptidase/glucanase lid domain
b.111.1;Small protein B (SmpB)
b.50.1;Acid proteases
b.51.1;ValRS/IleRS/LeuRS editing domain
b.107.1;Urease metallochaperone UreE, N-terminal domain
b.52.1;Barwin-like endoglucanases
b.52.2;ADC-like
b.53.1;Ribosomal protein L25-like
b.54.1;Core binding factor beta, CBF
b.173.1;NifT/FixU-like
b.55.1;PH domain-like
b.55.2;PA2021-like
b.56.1;Transcription factor IIA (TFIIA), beta-barrel domain
b.157.1;Hcp1-like
b.174.1;YopT-like
b.57.1;Herpes virus serine proteinase, assemblin
b.58.1;PK beta-barrel domain-like
b.59.1;XRCC4, N-terminal domain
b.124.1;HesB-like domain
b.141.1;Bacterial fluorinating enzyme, C-terminal domain
b.131.1;SPOC domain-like
b.158.1;BH3618-like
b.118.1;FAS1 domain
b.60.1;Lipocalins
b.61.1;Avidin/streptavidin
b.61.2;beta-Barrel protease inhibitors
b.61.3;D-aminopeptidase, middle and C-terminal domains
b.61.4;Quinohemoprotein amine dehydrogenase A chain, domain 3
b.61.5;Dipeptidyl peptidase I (cathepsin C), exclusion domain
b.61.6;YceI-like
b.61.7;Extracellular hemoglobin linker subunit, receptor domain
b.61.8;YdhA-like
b.175.1;FomD-like
b.159.1;Allene oxide cyclase-like
b.159.2;SO1590-like
b.176.1;AttH-like
b.62.1;Cyclophilin-like
b.63.1;Oncogene products
b.160.1;L,D-transpeptidase catalytic domain-like
b.100.1;Sortase
b.161.1;PTSIIA/GutA-like
b.64.1;Mannose 6-phosphate receptor domain
b.65.1;Rap30/74 interaction domains
b.66.1;Hemopexin-like domain
b.67.1;Tachylectin-2
b.67.2;Arabinanase/levansucrase/invertase
b.67.3;Apyrase
b.68.1;Sialidases
b.68.2;Soluble quinoprotein glucose dehydrogenase
b.68.3;Thermostable phytase (3-phytase)
b.68.4;TolB, C-terminal domain
b.68.5;YWTD domain
b.68.6;Calcium-dependent phosphotriesterase
b.68.7;Tricorn protease N-terminal domain
b.68.8;Fucose-specific lectin
b.68.9;NHL repeat
b.68.10;GyrA/ParC C-terminal domain-like
b.68.11;Kelch motif
b.69.1;Galactose oxidase, central domain
b.69.2;YVTN repeat-like/Quinoprotein amine dehydrogenase
b.69.3;Nitrous oxide reductase, N-terminal domain
b.69.4;WD40 repeat-like
b.69.5;RCC1/BLIP-II
b.69.6;Clathrin heavy-chain terminal domain
b.69.8;Integrin alpha N-terminal domain
b.69.7;Peptidase/esterase 'gauge' domain
b.69.9;Tricorn protease domain 2
b.69.10;3-carboxy-cis,cis-mucoante lactonizing enzyme
b.69.11;Putative isomerase YbhE
b.69.12;Sema domain
b.69.13;Oligoxyloglucan reducing end-specific cellobiohydrolase
b.69.14;Nucleoporin domain
b.70.1;Quinoprotein alcohol dehydrogenase-like
b.70.2;C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase
b.70.3;DPP6 N-terminal domain-like
b.71.1;Glycosyl hydrolase domain
b.72.1;WW domain
b.72.2;Carbohydrate binding domain
b.72.3;Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain
b.73.1;Head domain of nucleotide exchange factor GrpE
b.148.1;Coronavirus RNA-binding domain
b.101.1;Ribonuclease domain of colicin E3
b.143.1;NAC domain
b.162.1;At5g01610-like
b.74.1;Carbonic anhydrase
b.125.1;Prokaryotic lipoproteins and lipoprotein localization factors
b.177.1;YmcC-like
b.178.1;PA1994-like
b.75.1;Bacteriochlorophyll A protein
b.76.1;Outer surface protein
b.76.2;Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
b.77.1;Vitelline membrane outer protein-I (VMO-I)
b.77.2;delta-Endotoxin (insectocide), middle domain
b.77.3;Mannose-binding lectins
b.78.1;alpha-D-mannose-specific plant lectins
b.80.7;beta-Roll
b.80.1;Pectin lyase-like
b.80.2;Insect cysteine-rich antifreeze protein
b.80.3;Cell-division inhibitor MinC, C-terminal domain
b.80.4;Alpha subunit of glutamate synthase, C-terminal domain
b.80.5;C-terminal domain of adenylylcyclase associated protein
b.80.6;Stabilizer of iron transporter SufD
b.80.8;Pentapeptide repeat-like
b.81.1;Trimeric LpxA-like enzymes
b.81.2;An insect antifreeze protein
b.81.3;Adhesin YadA, collagen-binding domain
b.81.4;Guanosine diphospho-D-mannose pyrophosphorylase/mannose-6-phosphate isomerase linker domain
b.82.1;RmlC-like cupins
b.82.2;Clavaminate synthase-like
b.82.3;cAMP-binding domain-like
b.82.4;Regulatory protein AraC
b.82.6;Thiamin pyrophosphokinase, substrate-binding domain
b.82.7;Calcium ATPase, transduction domain A
b.82.5;TRAP-like
b.108.1;Phage fibre proteins
b.83.1;Fibre shaft of virus attachment proteins
b.144.1;Trimeric adhesin
b.109.1;Cell wall binding repeat
b.84.1;Single hybrid motif
b.84.2;Rudiment single hybrid motif
b.84.3;Duplicated hybrid motif
b.84.4;Ribosomal L27 protein-like
b.85.1;AFP III-like domain
b.85.7;SET domain
b.85.2;Head decoration protein D (gpD, major capsid protein D)
b.85.3;Urease, beta-subunit
b.85.6;MoeA C-terminal domain-like
b.85.4;dUTPase-like
b.85.5;Tlp20, baculovirus telokin-like protein
b.153.1;PheT/TilS domain
b.119.1;C-terminal autoproteolytic domain of nucleoporin nup98
b.163.1;Bacteriophage trimeric proteins domain
b.164.1;'SARS ORF9b-like
b.126.1;Adsorption protein p2
b.127.1;Baseplate structural protein gp8
b.86.1;Hedgehog/intein (Hint) domain
b.87.1;LexA/Signal peptidase
b.110.1;Cloacin translocation domain
b.88.1;Mss4-like
b.89.1;Cyanovirin-N
b.120.1;Tp47 lipoprotein, N-terminal domain
b.102.1;Methuselah ectodomain
b.90.1;Head-binding domain of phage P22 tailspike protein
b.91.1;E2 regulatory, transactivation domain
b.103.1;MoeA N-terminal region -like
b.165.1;MOSC N-terminal domain-like
b.166.1;MAL13P1.257-like
b.92.1;Composite domain of metallo-dependent hydrolases
b.93.1;Epsilon subunit of F1F0-ATP synthase N-terminal domain
b.113.1;N-terminal domain of MutM-like DNA repair proteins
b.128.1;Hypothetical protein YojF
b.142.1;DNA-binding pseudobarrel domain
b.129.1;AbrB/MazE/MraZ-like
b.129.2;AF2212/PG0164-like
b.122.1;PUA domain-like
b.145.1;AXH domain
b.167.1;FimD N-terminal domain-like
b.168.1;HisI-like
b.169.1;MFPT repeat-like
b.104.1;P-domain of calnexin/calreticulin
c.1.1;Triosephosphate isomerase (TIM)
c.1.2;Ribulose-phoshate binding barrel
c.1.3;Thiamin phosphate synthase
c.1.24;Pyridoxine 5'-phosphate synthase
c.1.4;FMN-linked oxidoreductases
c.1.5;Inosine monophosphate dehydrogenase (IMPDH)
c.1.6;PLP-binding barrel
c.1.7;NAD(P)-linked oxidoreductase
c.1.8;(Trans)glycosidases
c.1.9;Metallo-dependent hydrolases
c.1.10;Aldolase
c.1.11;Enolase C-terminal domain-like
c.1.12;Phosphoenolpyruvate/pyruvate domain
c.1.13;Malate synthase G
c.1.14;RuBisCo, C-terminal domain
c.1.15;Xylose isomerase-like
c.1.16;Bacterial luciferase-like
c.1.17;Nicotinate/Quinolinate PRTase C-terminal domain-like
c.1.18;PLC-like phosphodiesterases
c.1.19;Cobalamin (vitamin B12)-dependent enzymes
c.1.20;tRNA-guanine transglycosylase
c.1.21;Dihydropteroate synthetase-like
c.1.22;UROD/MetE-like
c.1.23;FAD-linked oxidoreductase
c.1.25;Monomethylamine methyltransferase MtmB
c.1.26;Homocysteine S-methyltransferase
c.1.27;(2r)-phospho-3-sulfolactate synthase ComA
c.1.28;Radical SAM enzymes
c.1.29;GlpP-like
c.1.30;CutC-like
c.1.31;ThiG-like
c.1.32;TM1631-like
c.1.33;EAL domain-like
c.2.1;NAD(P)-binding Rossmann-fold domains
c.3.1;FAD/NAD(P)-binding domain
c.4.1;Nucleotide-binding domain
c.5.1;MurCD N-terminal domain
c.6.1;Glycosyl hydrolases family 6, cellulases
c.6.3;PHP domain-like
c.6.2;Glycoside hydrolase/deacetylase
c.7.1;PFL-like glycyl radical enzymes
c.8.1;Phosphohistidine domain
c.8.7;RraA-like
c.8.8;Putative cyclase
c.8.2;LeuD/IlvD-like
c.8.3;Carbamoyl phosphate synthetase, small subunit N-terminal domain
c.8.6;Swiveling domain of dehydratase reactivase alpha subunit
c.8.4;PA domain
c.8.5;GroEL apical domain-like
c.8.9;FumA C-terminal domain-like
c.8.10;LD-carboxypeptidase A C-terminal domain-like
c.9.1;Barstar-related
c.9.2;Ribosomal protein L32e
c.98.1;MurE/MurF N-terminal domain
c.98.2;HprK N-terminal domain-like
c.10.1;RNI-like
c.10.2;L domain-like
c.10.3;Outer arm dynein light chain 1
c.12.1;Ribosomal proteins L15p and L18e
c.13.1;CRAL/TRIO domain
c.13.2;SpoIIaa-like
c.14.1;ClpP/crotonase
c.15.1;BRCT domain
c.16.1;Lumazine synthase
c.18.1;Uracil-DNA glycosylase-like
c.125.1;Creatininase
c.126.1;DNA polymerase III psi subunit
c.20.1;Initiation factor IF2/eIF5b, domain 3
c.58.1;Aminoacid dehydrogenase-like, N-terminal domain
c.136.1;Toprim domain
c.149.1;AtpF-like
c.21.1;Ribosomal protein L13
c.22.1;Ribosomal protein L4
c.142.1;Nqo1 FMN-binding domain-like
c.23.1;CheY-like
c.23.2;Toll/Interleukin receptor TIR domain
c.23.3;Hypothetical protein MTH538
c.23.4;Succinyl-CoA synthetase domains
c.23.5;Flavoproteins
c.23.6;Cobalamin (vitamin B12)-binding domain
c.23.8;N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)
c.23.10;SGNH hydrolase
c.23.11;Beta-D-glucan exohydrolase, C-terminal domain
c.23.12;Formate/glycerate dehydrogenase catalytic domain-like
c.23.13;Type II 3-dehydroquinate dehydratase
c.23.14;N-(deoxy)ribosyltransferase-like
c.23.15;Ribosomal protein S2
c.23.17;Precorrin-8X methylmutase CbiC/CobH
c.23.16;Class I glutamine amidotransferase-like
c.24.1;Methylglyoxal synthase-like
c.25.1;Ferredoxin reductase-like, C-terminal NADP-linked domain
c.26.1;Nucleotidylyl transferase
c.26.2;Adenine nucleotide alpha hydrolases-like
c.26.3;UDP-glucose/GDP-mannose dehydrogenase C-terminal domain
c.27.1;Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
c.28.1;Cryptochrome/photolyase, N-terminal domain
c.114.1;DsrEFH-like
c.120.1;PIN domain-like
c.121.1;Ribose/Galactose isomerase RpiB/AlsB
c.150.1;EreA/ChaN-like
c.116.1;alpha/beta knot
c.30.1;PreATP-grasp domain
c.31.1;DHS-like NAD/FAD-binding domain
c.32.1;Tubulin nucleotide-binding domain-like
c.33.1;Isochorismatase-like hydrolases
c.99.1;Dipeptide transport protein
c.34.1;Homo-oligomeric flavin-containing Cys decarboxylases, HFCD
c.108.1;HAD-like
c.124.1;NagB/RpiA/CoA transferase-like
c.115.1;Hypothetical protein MTH777 (MT0777)
c.100.1;Thiamin pyrophosphokinase, catalytic domain
c.101.1;Undecaprenyl diphosphate synthase
c.127.1;F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD)
c.36.1;Thiamin diphosphate-binding fold (THDP-binding)
c.37.1;P-loop containing nucleoside triphosphate hydrolases
c.38.1;PTS IIb component
c.128.1;DNA polymerase III chi subunit
c.39.1;Nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase (CobT)
c.143.1;CofD-like
c.129.1;MCP/YpsA-like
c.40.1;Methylesterase CheB, C-terminal domain
c.41.1;Subtilisin-like
c.138.1;Indigoidine synthase A-like
c.42.1;Arginase/deacetylase
c.130.1;Alpha-2,3/8-sialyltransferase CstII
c.102.1;Cell-division inhibitor MinC, N-terminal domain
c.110.1;DTD-like
c.43.1;CoA-dependent acyltransferases
c.44.1;Phosphotyrosine protein phosphatases I
c.44.2;PTS system IIB component-like
c.45.1;(Phosphotyrosine protein) phosphatases II
c.46.1;Rhodanese/Cell cycle control phosphatase
c.47.1;Thioredoxin-like
c.47.2;RNA 3'-terminal phosphate cyclase, RPTC, insert domain
c.131.1;Peptidyl-tRNA hydrolase II
c.48.1;TK C-terminal domain-like
c.49.1;PK C-terminal domain-like
c.49.2;ATP synthase (F1-ATPase), gamma subunit
c.51.1;Class II aaRS ABD-related
c.51.2;TolB, N-terminal domain
c.51.3;B12-dependent dehydatase associated subunit
c.51.4;ITPase-like
c.51.5;CinA-like
c.51.6;XCC0632-like
c.103.1;MTH938-like
c.52.1;Restriction endonuclease-like
c.52.2;tRNA-intron endonuclease catalytic domain-like
c.52.3;Eukaryotic RPB5 N-terminal domain
c.52.4;TBP-interacting protein-like
c.53.1;Resolvase-like
c.53.2;beta-carbonic anhydrase, cab
c.54.1;PTS system fructose IIA component-like
c.55.1;Actin-like ATPase domain
c.55.2;Creatinase/prolidase N-terminal domain
c.55.3;Ribonuclease H-like
c.55.4;Translational machinery components
c.55.5;Nitrogenase accessory factor-like
c.55.6;DNA repair protein MutS, domain II
c.55.7;Methylated DNA-protein cysteine methyltransferase domain
c.56.1;HybD-like
c.56.2;Purine and uridine phosphorylases
c.56.3;Peptidyl-tRNA hydrolase-like
c.56.4;Pyrrolidone carboxyl peptidase (pyroglutamate aminopeptidase)
c.56.5;Zn-dependent exopeptidases
c.56.6;LigB-like
c.56.7;AF0625-like
c.56.8;Cgl1923-like
c.57.1;Molybdenum cofactor biosynthesis proteins
c.151.1;CobE/GbiG C-terminal domain-like
c.152.1;CbiG N-terminal domain-like
c.132.1;Bacterial fluorinating enzyme, N-terminal domain
c.17.1;Caspase-like
c.50.1;Macro domain-like
c.59.1;MurD-like peptide ligases, peptide-binding domain
c.60.1;Phosphoglycerate mutase-like
c.61.1;PRTase-like
c.62.1;vWA-like
c.64.1;Pyruvate-ferredoxin oxidoreductase, PFOR, domain III
c.133.1;RbsD-like
c.19.1;FabD/lysophospholipase-like
c.122.1;L-sulfolactate dehydrogenase-like
c.65.1;Formyltransferase
c.66.1;S-adenosyl-L-methionine-dependent methyltransferases
c.134.1;LmbE-like
c.67.1;PLP-dependent transferases
c.67.2;PhnH-like
c.67.3;Dhaf3308-like
c.68.1;Nucleotide-diphospho-sugar transferases
c.144.1;RibA-like
c.111.1;Activating enzymes of the ubiquitin-like proteins
c.69.1;alpha/beta-Hydrolases
c.70.1;Nucleoside hydrolase
c.71.1;Dihydrofolate reductase-like
c.72.1;Ribokinase-like
c.72.2;MurD-like peptide ligases, catalytic domain
c.72.3;CoaB-like
c.104.1;YjeF N-terminal domain-like
c.73.1;Carbamate kinase-like
c.105.1;2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain
c.76.1;Alkaline phosphatase-like
c.140.1;TTHA0583/YokD-like
c.112.1;Glycerol-3-phosphate (1)-acyltransferase
c.74.1;AraD/HMP-PK domain-like
c.106.1;SurE-like
c.153.1;YerB-like
c.154.1;CdCA1 repeat-like
c.77.1;Isocitrate/Isopropylmalate dehydrogenase-like
c.117.1;Amidase signature (AS) enzymes
c.78.1;Aspartate/ornithine carbamoyltransferase
c.78.2;Aspartate/glutamate racemase
c.79.1;Tryptophan synthase beta subunit-like PLP-dependent enzymes
c.80.1;SIS domain
c.81.1;Formate dehydrogenase/DMSO reductase, domains 1-3
c.82.1;ALDH-like
c.145.1;NadA-like
c.83.1;Aconitase iron-sulfur domain
c.84.1;Phosphoglucomutase, first 3 domains
c.85.1;FucI/AraA N-terminal and middle domains
c.146.1;YgbK-like
c.86.1;Phosphoglycerate kinase
c.87.1;UDP-Glycosyltransferase/glycogen phosphorylase
c.88.1;Glutaminase/Asparaginase
c.89.1;Phosphofructokinase
c.90.1;Tetrapyrrole methylase
c.118.1;GckA/TtuD-like
c.119.1;DAK1/DegV-like
c.107.1;DHH phosphoesterases
c.141.1;Glycerate kinase I
c.91.1;PEP carboxykinase-like
c.109.1;PEP carboxykinase N-terminal domain
c.92.1;Chelatase
c.92.2;"Helical backbone" metal receptor
c.92.3;PrpR receptor domain-like
c.113.1;HemD-like
c.147.1;CAC2185-like
c.93.1;Periplasmic binding protein-like I
c.94.1;Periplasmic binding protein-like II
c.95.1;Thiolase-like
c.135.1;NIF3 (NGG1p interacting factor 3)-like
c.96.1;Fe-only hydrogenase
c.148.1;ComB-like
c.123.1;CoA-transferase family III (CaiB/BaiF)
c.97.1;Cytidine deaminase-like
c.97.3;JAB1/MPN domain
d.1.1;Microbial ribonucleases
d.2.1;Lysozyme-like
d.3.1;Cysteine proteinases
d.4.1;His-Me finger endonucleases
d.5.1;RNase A-like
d.294.1;EndoU-like
d.6.1;Prion-like
d.7.1;LysM domain
d.186.1;Head-to-tail joining protein W, gpW
d.186.2;XkdW-like
d.266.1;Hypothetical protein MTH677
d.288.1;GTF2I-like repeat
d.8.1;Urease, gamma-subunit
d.9.1;Interleukin 8-like chemokines
d.9.2;PhtA domain-like
d.10.1;DNA-binding domain
d.11.1;Penicillin-binding protein 2x (pbp-2x), c-terminal domain
d.230.2;Dodecin-like
d.230.3;Amyloid beta a4 protein copper binding domain (domain 2)
d.230.1;N-terminal, heterodimerisation domain of RBP7 (RpoE)
d.230.4;D-lysine 5,6-aminomutase beta subunit KamE, N-terminal domain
d.230.5;YbjQ-like
d.230.6;YdgH-like
d.12.1;Ribosomal proteins S24e, L23 and L15e
d.241.2;Trigger factor ribosome-binding domain
d.241.1;Translation initiation factor 2 beta, aIF2beta, N-terminal domain
d.295.1;TFB5-like
d.242.1;Obg GTP-binding protein C-terminal domain
d.13.1;HIT-like
d.13.2;Rotavirus NSP2 fragment, C-terminal domain
d.198.1;Type III secretory system chaperone-like
d.198.2;Arp2/3 complex subunits
d.198.3;YjbR-like
d.198.4;YdhG-like
d.198.5;YgaC/TfoX-N like
d.285.1;DNA-binding domain of intron-encoded endonucleases
d.199.1;DNA-binding C-terminal domain of the transcription factor MotA
d.296.1;YktB/PF0168-like
d.232.1;Mago nashi protein
d.297.1;WGR domain-like
d.342.1;PH1570-like
d.14.1;Ribosomal protein S5 domain 2-like
d.15.1;Ubiquitin-like
d.15.2;CAD & PB1 domains
d.15.3;MoaD/ThiS
d.15.10;TGS-like
d.15.4;2Fe-2S ferredoxin-like
d.15.5;Staphylokinase/streptokinase
d.15.11;Doublecortin (DC)
d.15.6;Superantigen toxins, C-terminal domain
d.15.7;Immunoglobulin-binding domains
d.15.8;Translation initiation factor IF3, N-terminal domain
d.15.9;Glutamine synthetase, N-terminal domain
d.15.12;TmoB-like
d.15.13;Nqo1 middle domain-like
d.15.14;NSP3A-like
d.343.1;MM3350-like
d.289.1;WWE domain
d.16.1;FAD-linked reductases, C-terminal domain
d.17.1;Cystatin/monellin
d.17.2;Amine oxidase N-terminal region
d.17.3;DsbC/DsbG N-terminal domain-like
d.17.4;NTF2-like
d.17.5;Uracil-DNA glycosylase inhibitor protein
d.17.7;Putative dsDNA mimic
d.17.6;Pre-PUA domain
d.221.1;Nuclease A inhibitor (NuiA)
d.243.1;Colicin D/E5 nuclease domain
d.298.1;RelE-like
d.267.1;Hypothetical protein SAV1430
d.299.1;Ns1 effector domain-like
d.222.1;YbaB-like
d.300.1;Kinetochore globular domain
d.301.1;L35p-like
d.244.1;Cell division protein ZapA-like
d.18.1;ssDNA-binding transcriptional regulator domain
d.187.1;Photosystem I subunit PsaD
d.344.1;PriA/YqbF domain
d.19.1;MHC antigen-recognition domain
d.20.1;UBC-like
d.217.1;SAND domain-like
d.345.1;NRDP1 C-terminal domain-like
d.302.1;Coronavirus NSP8-like
d.268.1;ParB/Sulfiredoxin
d.269.1;Gamma-glutamyl cyclotransferase-like
d.303.1;BB1717-like
d.346.1;SARS Nsp1-like
d.347.1;Acetoacetate decarboxylase-like
d.290.1;AF0104/ALDC/Ptd012-like
d.245.1;NSFL1 (p97 ATPase) cofactor p47, SEP domain
d.304.1;TTHA1013/TTHA0281-like
d.348.1;YegP-like
d.21.1;Diaminopimelate epimerase-like
d.22.1;GFP-like
d.23.1;Tubby C-terminal domain-like
d.24.1;Pili subunits
d.25.1;Mitochondrial glycoprotein MAM33-like
d.305.1;NAP-like
d.223.1;Polo-box domain
d.246.1;mRNA decapping enzyme DcpS N-terminal domain
d.233.1;Inhibitor of vertebrate lysozyme, Ivy
d.26.1;FKBP-like
d.26.2;Colicin E3 immunity protein
d.26.3;Chitinase insertion domain
d.27.1;Ribosomal protein S16
d.28.1;Ribosomal protein S19
d.306.1;YefM-like
d.29.1;Ribosomal protein L31e
d.30.1;Allophycocyanin linker chain (domain)
d.31.1;Cdc48 domain 2-like
d.32.1;Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
d.247.1;Chromosomal protein MC1
d.349.1;CPE0013-like
d.211.1;Ankyrin repeat
d.211.2;Plakin repeat
d.234.1;Proguanylin
d.33.1;SecB-like
d.229.1;MesJ substrate recognition domain-like
d.235.1;FYSH domain
d.213.1;VSV matrix protein
d.34.1;DNA-binding domain of Mlu1-box binding protein MBP1
d.35.1;Heme-binding protein A (HasA)
d.36.1;Chalcone isomerase
d.248.1;Coproporphyrinogen III oxidase
d.249.1;Hypothetical protein Ta1206
d.37.1;CBS-domain pair
d.38.1;Thioesterase/thiol ester dehydrase-isomerase
d.39.1;DLC
d.40.1;CI-2 family of serine protease inhibitors
d.200.1;Integrin beta tail domain
d.350.1;YcgL-like
d.41.1;CO dehydrogenase molybdoprotein N-domain-like
d.41.2;Nicotinate/Quinolinate PRTase N-terminal domain-like
d.41.3;Pyrimidine nucleoside phosphorylase C-terminal domain
d.41.4;Ribosomal protein L16p/L10e
d.41.5;Molybdopterin synthase subunit MoaE
d.42.1;POZ domain
d.43.1;Elongation factor Ts (EF-Ts), dimerisation domain
d.43.2;Band 7/SPFH domain
d.44.1;Fe,Mn superoxide dismutase (SOD), C-terminal domain
d.45.1;ClpS-like
d.214.1;Hypothetical protein MTH1880
d.47.1;Ribosomal L11/L12e N-terminal domain
d.48.1;RecA protein, C-terminal domain
d.48.2;Anti-lipopolysaccharide factor
d.49.1;Signal recognition particle alu RNA binding heterodimer, SRP9/14
d.50.1;dsRNA-binding domain-like
d.50.2;Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
d.50.3;YcfA/nrd intein domain
d.50.4;Peptidyl-tRNA hydrolase domain-like
d.50.5;Rv2632c-like
d.270.1;2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
d.351.1;NMB0488-like
d.201.1;SRP19
d.224.1;SufE/NifU
d.352.1;FlaG-like
d.353.1;AMPKBI-like
d.236.1;DNA-binding protein Tfx
d.51.1;Eukaryotic type KH-domain (KH-domain type I)
d.52.1;Alpha-lytic protease prodomain
d.52.2;GMP synthetase C-terminal dimerisation domain
d.52.3;Prokaryotic type KH domain (KH-domain type II)
d.52.5;Probable GTPase Der, C-terminal domain
d.52.7;Ribosome-binding factor A, RbfA
d.52.4;YhbC-like, N-terminal domain
d.52.6;BolA-like
d.52.8;Fe-S cluster assembly (FSCA) domain-like
d.52.9;Cation efflux protein cytoplasmic domain-like
d.52.10;EspE N-terminal domain-like
d.218.1;Nucleotidyltransferase
d.307.1;Nqo5-like
d.53.1;Ribosomal protein S3 C-terminal domain
d.202.1;Transcription factor NusA, N-terminal domain
d.54.1;Enolase N-terminal domain-like
d.55.1;Ribosomal protein L22
d.188.1;Prokaryotic ribosomal protein L17
d.56.1;GroEL-intermediate domain like
d.189.1;PX domain
d.354.1;Shew3726-like
d.203.1;DsrC, the gamma subunit of dissimilatory sulfite reductase
d.57.1;DNA damage-inducible protein DinI
d.271.1;HSP90 C-terminal domain
d.58.1;4Fe-4S ferredoxins
d.58.2;Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain
d.58.3;Protease propeptides/inhibitors
d.58.4;Dimeric alpha+beta barrel
d.58.5;GlnB-like
d.58.41;SEA domain
d.58.6;Nucleoside diphosphate kinase, NDK
d.58.7;RNA-binding domain, RBD
d.58.8;Viral DNA-binding domain
d.58.9;RuBisCO, large subunit, small (N-terminal) domain
d.58.10;Acylphosphatase/BLUF domain-like
d.58.11;EF-G C-terminal domain-like
d.58.12;eEF-1beta-like
d.58.46;eEF1-gamma domain
d.58.13;Anticodon-binding domain of PheRS
d.58.14;Ribosomal protein S6
d.58.15;Ribosomal protein S10
d.58.42;N-utilization substance G protein NusG, N-terminal domain
d.58.16;PAP/Archaeal CCA-adding enzyme, C-terminal domain
d.58.17;HMA, heavy metal-associated domain
d.58.38;Urease metallochaperone UreE, C-terminal domain
d.58.18;ACT-like
d.58.19;Bacterial exopeptidase dimerisation domain
d.58.20;NAD-binding domain of HMG-CoA reductase
d.58.21;Molybdenum cofactor biosynthesis protein C, MoaC
d.58.22;TRADD, N-terminal domain
d.58.23;Probable ACP-binding domain of malonyl-CoA ACP transacylase
d.58.24;CheY-binding domain of CheA
d.58.40;D-ribose-5-phosphate isomerase (RpiA), lid domain
d.58.25;Killer toxin KP6 alpha-subunit
d.58.47;Hypothetical protein VC0424
d.58.50;Hypothetical protein TT1725
d.58.43;Mechanosensitive channel protein MscS (YggB), C-terminal domain
d.58.26;GHMP Kinase, C-terminal domain
d.58.27;Translational regulator protein regA
d.58.28;Peptide methionine sulfoxide reductase
d.58.29;Nucleotide cyclase
d.58.30;6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK
d.58.39;Glutamyl tRNA-reductase catalytic, N-terminal domain
d.58.48;MTH1187/YkoF-like
d.58.31;Methyl-coenzyme M reductase subunits
d.58.32;FAD-linked oxidases, C-terminal domain
d.58.33;Formylmethanofuran:tetrahydromethanopterin formyltransferase
d.58.34;Formiminotransferase domain of formiminotransferase-cyclodeaminase.
d.58.36;Nitrite/Sulfite reductase N-terminal domain-like
d.58.44;Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains
d.58.49;YajQ-like
d.58.51;eIF-2-alpha, C-terminal domain
d.58.52;Sporulation related repeat
d.58.53;CRISPR-associated protein
d.58.54;YbeD/HP0495-like
d.58.55;DOPA-like
d.58.56;CcmK-like
d.58.57;Transposase IS200-like
d.58.58;TTP0101/SSO1404-like
d.58.59;Rnp2-like
d.58.60;Bacterial polysaccharide co-polymerase-like
d.58.61;MTH889-like
d.58.62;Ribosomal protein L10-like
d.284.1;PurS-like
d.355.1;RplX-like
d.272.1;Dystroglycan, domain 2
d.265.1;Pseudouridine synthase
d.356.1;SP0830-like
d.250.1;Folate-binding domain
d.308.1;THUMP domain-like
d.309.1;AMMECR1-like
d.357.1;NosL/MerB-like
d.291.1;YehU-like
d.251.1;Hypothetical protein YwqG
d.310.1;VC0467-like
d.240.1;Lesion bypass DNA polymerase (Y-family), little finger domain
d.311.1;ImmE5-like
d.59.1;Ribosomal protein L30p/L7e
d.190.1;Chorismate lyase-like
d.358.1;YdfO-like
d.312.1;TM1622-like
d.359.1;BH3703-like
d.60.1;Probable bacterial effector-binding domain
d.252.1;CheC-like
d.61.1;LigT-like
d.62.1;Pepsin inhibitor-3
d.63.1;CYTH-like phosphatases
d.313.1;Prenyltransferase-like
d.64.1;eIF1-like
d.64.2;TM1457-like
d.65.1;Hedgehog/DD-peptidase
d.66.1;Alpha-L RNA-binding motif
d.67.1;ThrRS/AlaRS common domain
d.67.2;Arginyl-tRNA synthetase (ArgRS), N-terminal 'additional' domain
d.67.3;Ribosome recycling factor, RRF
d.67.4;General secretion pathway protein M, EpsM
d.185.1;LuxS/MPP-like metallohydrolase
d.68.1;Translation initiation factor IF3, C-terminal domain
d.68.4;YhbY-like
d.68.3;SirA-like
d.68.6;AlbA-like
